Title,Description,Date,Archive,Download_URL
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Beit_el_Ma,_near_Antioch,_supposed_site_of_Daphne_-_Carne_John_-_1836.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Botting_Ct._-_panoramio.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cameo_Julian_the_Apostate_Inv312a_CdM_Paris.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Caption-_Antioch_as_it_looked_in_February_1920._(9088060306).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cassas1800bd1_0007_(cropped).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cassas1800bd1_0007.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cassas1800bd1_0011.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Cemetery_ans_walls_of_Antioch_-_Carne_John_-_1836.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Ebremars,_Archbishop_of_Caesarea.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Fall_of_Antioch_in_969.png
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Femme_d%27Alep_Femme_d%27Antioche_-_Castellan_Antoine-laurent_-_1812.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Flag_of_Antioque.png
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Funerary_relief_of_Caesianus_(Worcester_Art_Mus_1936.41).jpg
