ID,Filename,Title,Description,Category,Location,Date,Image_URL,Can_Download
30,Other_Heritage/0030_digitized item thumbnail.jpg,digitized item thumbnail,#gallery 2006675871,Other_Heritage,,,https://tile.loc.gov/storage-services/service/pnp/ppmsca/10700/10714_75x75px.jpg,Yes
31,Other_Heritage/0031_digitized item thumbnail.jpg,digitized item thumbnail,#gallery 2019695867,Other_Heritage,,,https://tile.loc.gov/storage-services/service/pnp/matpc/02100/02185_75x75px.jpg,Yes
32,Other_Heritage/0032_digitized item thumbnail.jpg,digitized item thumbnail,#gallery 2019695868,Other_Heritage,,,https://tile.loc.gov/storage-services/service/pnp/matpc/02100/02189_75x75px.jpg,Yes
33,Other_Heritage/0033_digitized item thumbnail.jpg,digitized item thumbnail,#gallery 2019695870,Other_Heritage,,,https://tile.loc.gov/storage-services/service/pnp/matpc/02100/02194_75x75px.jpg,Yes
34,Other_Heritage/0034_Pinterest.jpg,Pinterest,No description available,Other_Heritage,,,https://cdn.loc.gov/images/img-foot/pinterest.gif,Yes
35,Other_Heritage/0035_Facebook.jpg,Facebook,No description available,Other_Heritage,,,https://cdn.loc.gov/images/img-foot/facebook.gif,Yes
36,Other_Heritage/0036_Twitter.jpg,Twitter,No description available,Other_Heritage,,,https://cdn.loc.gov/images/img-foot/twitter.gif,Yes
37,Other_Heritage/0037_YouTube.jpg,YouTube,No description available,Other_Heritage,,,https://cdn.loc.gov/images/img-foot/youtube.gif,Yes
38,Other_Heritage/0038_Flickr.jpg,Flickr,No description available,Other_Heritage,,,https://cdn.loc.gov/images/img-foot/flickr.gif,Yes
43,Antakya_Heritage/0043_Search Results antioch ruins -             Prints .jpg,"Search Results: ""antioch ruins"" - 
            Prints & Photographs Online Catalog (Library of Congr",No description available,Antakya_Heritage,,,https://www.loc.gov/pictures/static/images/next_off.gif,Yes
48,Other_Heritage/0048_digitized item thumbnail.jpg,digitized item thumbnail,#gallery 2007682822,Other_Heritage,,,https://www.loc.gov/pictures/static/images/item/group_of_images_75x75_white.png,Yes
56,Antakya_Heritage/0056_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Abdulgazi_mosque_in_2011_2692.jpg,Yes
57,Antakya_Heritage/0057_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Unidentified_Mosque_A_in_2004_04.jpg,Yes
58,Antakya_Heritage/0058_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Unidentified_Mosque_A_in_2004_05.jpg,Yes
59,Antakya_Heritage/0059_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Unidentified_Mosque_A_in_2004_06.jpg,Yes
60,Antakya_Heritage/0060_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Unidentified_Mosque_D_in_2004_01.jpg,Yes
61,Antakya_Heritage/0061_CategoryMosques in Antakya - Wikimedia Commons.jpg,Category:Mosques in Antakya - Wikimedia Commons,No description available,Antakya_Heritage,,,https://commons.wikimedia.org/wiki/File:Antakya_Unidentified_Mosque_D_in_2004_02.jpg,Yes
